"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT18","WT22"
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-17","10.74"," 1503"," 1401","1.21","0.0","0.0",,"76","61","  130","  120","0.0","19.9","30.0","    1",,,,"    1",,,"    1",,,,"    1",,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-18","10.74"," 0921"," 0356","0.16","0.0","0.0",,"64","51","  100","  140","0.0","19.9","25.9","    1",,,,"    1",,,,,,,"    1","    1",,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-19","5.82"," 1803"," 1613","0.00","0.0","0.0",,"67","51","  350","   20","0.0","12.1","17.0","    1",,,,,,,,,,,"    1","    1",,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-20","2.24"," 1710"," 1709","0.00","0.0","0.0",,"72","55","  200","  130","0.0","10.1","13.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-21","10.74"," 1458"," 1607","0.00","0.0","0.0",,"80","56","  160","  150","0.0","21.9","25.9",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-22","14.32"," 2056"," 2100","0.00","0.0","0.0",,"74","62","  170","  170","0.0","25.1","33.1","    1",,,,,,"    1","    1",,,,"    1",,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-23","6.93"," 0022"," 0147","0.09","0.0","0.0",,"83","66","  150","  170","0.0","23.0","29.1","    1",,"    1",,"    1",,,,,,,"    1",,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-24","10.29"," 1441"," 1429","0.34","0.0","0.0",,"79","58","  280","  270","0.0","23.9","33.1","    1",,"    1",,"    1",,,,,,,,,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-25","11.41"," 1444"," 1655","0.00","0.0","0.0",,"76","59","  310","  290","0.0","23.9","31.1",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-26","8.95"," 1805"," 1818","0.00","0.0","0.0",,"76","54","  350","  360","0.0","23.0","30.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-27","7.83"," 1005"," 1004","0.00","0.0","0.0",,"72","50","  320","  330","0.0","21.9","25.9",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-28","13.87"," 1713"," 1546","0.00","0.0","0.0",,"80","53","  170","  160","0.0","25.1","33.1",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-29","21.25"," 1633"," 1231","0.00","0.0","0.0",,"84","62","  180","  160","0.0","33.1","42.9",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-04-30","10.74"," 0055"," 0054","0.00","0.0","0.0",,"82","68","  180","  170","0.0","29.1","36.9",,,,,"    1",,,,,,,,,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-05-01","6.93"," 0528"," 0527","0.10","0.0","0.0",,"79","60","   20","   30","0.0","31.1","38.0","    1",,"    1",,"    1",,,,,,,,,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-05-02","6.26"," 1415"," 1415","0.00","0.0","0.0",,"84","62","  210","  240","0.0","19.9","25.1",,,,,,,,,,,,,,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-05-03","8.50"," 1631"," 1631","0.24","0.0","0.0",,"86","57","  320","  310","0.0","30.0","38.0","    1",,"    1",,"    1",,,,,,,,,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-05-04","8.50"," 1951"," 1943","0.00","0.0","0.0",,"86","53","  150","  150","0.0","21.0","28.0","    1","    1",,,,,,,"    1",,,"    1",,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-05-05","7.16"," 1434"," 0802","0.00","0.0","0.0",,"89","63","  310","  210","0.0","14.1","19.9",,,,,,,,,,,,,,,,,
