STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT21,WT22
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/24/2010,8.05,13,2356,0,0,0,,82,54,340,300,,28,38.9,,,1,,1,,,1,,,,,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/25/2010,6.26,1320,1306,0,0,0,,83,51,310,280,,16.1,21.9,,,,,,,,1,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/26/2010,10.96,1924,1923,0,0,0,,87,48,10,10,,25.9,33.1,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/27/2010,7.16,1430,1429,0,0,0,,77,49,40,50,,19.9,23.9,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/28/2010,7.38,1635,1606,0,0,0,,81,44,190,150,,19.9,23.9,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/29/2010,15.66,1736,1738,0,0,0,,86,61,150,160,,28,33.1,,,,,1,,,,,,,,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/30/2010,9.62,903,903,0,0,0,,88,72,170,170,,19.9,25.9,1,,,,,,,1,,,1,,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/1/2010,7.38,823,929,0,0,0,,83,58,10,10,,23,28,1,,,,,,1,1,,,1,,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/2/2010,4.92,1449,1448,0,0,0,,87,52,210,190,,15,21,,,,,1,,,,,,,,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",5/3/2010,6.49,1142,1117,0,0,0,,90,45,190,210,,19.9,25.9,,,,,,,,1,,,,,,,,,,
